,g_mag,r_mag,int_color,num_rgb,num_cheb,num_agb,num_eagb,num_tpagb
0,22.284253150016717,21.831235907753808,0.4530172422629052,973,99,14,13,1
1,22.19108518118357,21.721596966766658,0.4694882144169117,949,108,22,21,1
2,22.226541409043765,21.77383751075141,0.4527038982923582,884,121,18,18,0
3,22.177106132158325,21.697367182047763,0.4797389501105622,1002,119,19,15,4
4,22.20419157144444,21.736682294506018,0.467509276938422,905,106,12,12,0
5,22.247375176516016,21.805606149332867,0.4417690271831506,996,110,13,13,0
6,22.213591068742424,21.729463604739156,0.48412746400326917,939,105,21,19,2
7,22.2107758406272,21.768196530697658,0.44257930992954453,944,121,17,17,0
8,22.313843964172776,21.878484763470063,0.4353592007027118,899,108,13,13,0
9,22.232666063390063,21.779814983589254,0.4528510798008059,975,109,14,14,0
10,22.18176923562664,21.699163013030013,0.4826062225966257,940,102,23,21,2
11,22.18301147656412,21.686272010779266,0.496739465784852,982,105,15,13,2
12,22.245971289150273,21.77960874141561,0.466362547734659,908,96,21,19,2
13,22.203467738999194,21.720788730087595,0.48267900891159926,963,99,19,18,1
14,22.15589395543773,21.67660306226326,0.47929089317446744,979,115,18,17,1
15,22.14591898150067,21.65681680324031,0.4891021782603626,997,112,19,17,2
16,22.149943165266244,21.673557797519795,0.4763853677464468,962,126,14,13,1
17,22.32683718321425,21.881775486018444,0.44506169719580235,931,98,9,8,1
18,22.201963131318948,21.74038866387288,0.46157446744606584,1016,101,19,18,1
19,22.119214753471525,21.575284296147647,0.5439304573238806,976,98,35,27,8
20,22.196687178853608,21.739799387027574,0.45688779182603395,944,115,24,22,2
21,22.214429096958078,21.74734951097818,0.46707958597989846,922,112,22,20,2
22,22.13423554631059,21.664883221845642,0.4693523244649518,955,138,24,23,1
23,22.221089739971383,21.7510919957814,0.4699977441899832,1001,107,11,10,1
24,22.202173106515538,21.729442920951225,0.47273018556431173,963,117,15,13,2
25,22.182165110060748,21.705044904248204,0.4771202058125415,964,96,21,20,1
26,22.169460531239995,21.68235346950905,0.4871070617309421,947,110,18,17,1
27,22.24212545439633,21.784114483488217,0.4580109709081136,973,105,19,17,2
28,22.169067113312902,21.710560098847115,0.4585070144657863,1019,116,18,18,0
29,22.213311190598905,21.730296407501456,0.48301478309744916,973,109,20,18,2
30,22.17508220606826,21.686695814740983,0.4883863913272819,1008,110,14,13,1
31,22.23055159999211,21.757124891032635,0.4734267089594797,967,109,13,11,2
32,22.27450864908263,21.815546593791897,0.4589620552907326,935,102,12,11,1
33,22.176009484096156,21.72943645526299,0.4465730288331651,983,120,20,20,0
34,22.286343956246547,21.847896402965755,0.43844755328079077,980,90,17,17,0
35,22.25277198416108,21.81586543952958,0.4369065446314966,923,127,14,14,0
36,22.230967070640048,21.762497482040366,0.4684695885996821,933,101,12,11,1
37,22.149132509406286,21.641564961710642,0.5075675476956386,960,119,11,9,2
38,22.160377006083685,21.660286973485512,0.5000900325981731,1000,97,21,21,0
39,22.222531878305652,21.732303462114196,0.49022841619145163,956,106,10,9,1
40,22.262189432959254,21.788810328206665,0.4733791047525832,896,112,17,15,2
41,22.23044664030729,21.741191916356037,0.48925472395125286,949,108,17,13,4
42,22.10960102632166,21.585451082434552,0.5241499438871067,994,103,21,17,4
43,22.22924416913603,21.751298225676923,0.4779459434591049,904,109,14,13,1
44,22.237803610645113,21.74276832289509,0.49503528775002614,936,99,15,14,1
45,22.238036473895825,21.792763364826598,0.44527310906923,941,117,18,17,1
46,22.155330819613816,21.653269094311707,0.502061725302106,955,108,13,12,1
47,22.204849267690072,21.725474050203232,0.4793752174868392,951,115,14,12,2
48,22.210152337119908,21.73803729405172,0.4721150430681865,947,107,14,12,2
49,22.17965420150964,21.72156492582421,0.4580892756854233,958,121,13,13,0
50,22.18254719122893,21.701025924801947,0.4815212664269869,961,110,20,20,0
51,22.229371832998947,21.759347430530582,0.4700244024683675,937,117,14,11,3
52,22.278791308923754,21.821967976826606,0.45682333209714554,977,106,13,12,1
53,22.211385766159353,21.755050956302732,0.4563348098566229,1002,105,20,20,0
54,22.237991543185057,21.763591904696455,0.47439963848860167,962,103,18,16,2
55,22.23792144656568,21.75604704321951,0.48187440334617476,935,102,16,12,4
56,22.240738439419765,21.800993239938457,0.4397451994813073,981,121,13,11,2
57,22.152156495729326,21.66689179629046,0.48526469943886347,973,119,22,19,3
58,22.223921833122002,21.776237212159497,0.44768462096250544,983,110,18,18,0
59,22.187409384626243,21.71893796930986,0.46847141531638353,957,115,16,15,1
60,22.272403405390225,21.794807640837448,0.4775957645527751,967,104,14,12,2
61,22.125456084157335,21.617949381909742,0.5075067022475928,990,110,18,16,2
62,22.23875382623014,21.757154457868637,0.48159936836150435,949,102,19,17,2
63,22.249114825199943,21.736691845672738,0.5124229795272046,942,93,14,12,2
64,22.136857088046817,21.6309315498653,0.5059255381815199,997,103,17,14,3
65,22.113415562577924,21.629075960583663,0.4843396019942553,1035,112,20,19,1
66,22.257544166652803,21.768207156910098,0.4893370097427027,899,96,17,14,3
67,22.239754473042378,21.758209520158317,0.48154495288406046,898,110,19,18,1
68,22.239651780202717,21.772915921565822,0.4667358586368902,990,108,16,14,2
69,22.237984517424497,21.758766882196877,0.4792176352276213,931,105,15,15,0
70,22.14650495381005,21.63032223534518,0.5161827184648733,957,115,19,17,2
71,22.21549194994528,21.712090025004656,0.50340192494062,930,107,14,10,4
72,22.230185652933628,21.754917623830877,0.47526802910275356,952,112,20,18,2
73,22.159427750145262,21.64637764058766,0.5130501095576046,913,122,12,10,2
